,classifier,filename,accuracy
195,GaussianNB,dataset/transform/rows_permutation/flipping/Lung_Cancer.csv,0.8888888888888888
196,GaussianNB,dataset/transform/rows_permutation/flipping/Voice_Rehabilitation.csv,0.4523809523809524
197,GaussianNB,dataset/transform/rows_permutation/flipping/Breast_Cancer.csv,0.8843338213762811
198,RandomForestClassifier,dataset/transform/rows_permutation/flipping/SE_Process.csv,1.0
199,RandomForestClassifier,dataset/transform/rows_permutation/flipping/Immuno_Therapy.csv,1.0
200,RandomForestClassifier,dataset/transform/rows_permutation/flipping/German_Credit.csv,0.979
201,RandomForestClassifier,dataset/transform/rows_permutation/flipping/Lung_Cancer.csv,1.0
202,RandomForestClassifier,dataset/transform/rows_permutation/flipping/Voice_Rehabilitation.csv,1.0
203,RandomForestClassifier,dataset/transform/rows_permutation/flipping/Breast_Cancer.csv,0.9970717423133236
204,AdaBoostClassifier,dataset/transform/rows_permutation/flipping/SE_Process.csv,0.9646910466582598
205,AdaBoostClassifier,dataset/transform/rows_permutation/flipping/Immuno_Therapy.csv,1.0
206,AdaBoostClassifier,dataset/transform/rows_permutation/flipping/German_Credit.csv,0.809
207,AdaBoostClassifier,dataset/transform/rows_permutation/flipping/Lung_Cancer.csv,0.7777777777777778
208,AdaBoostClassifier,dataset/transform/rows_permutation/flipping/Voice_Rehabilitation.csv,1.0
209,AdaBoostClassifier,dataset/transform/rows_permutation/flipping/Breast_Cancer.csv,1.0
210,KNeighborsClassifier,dataset/transform/rows_permutation/random/SE_Process.csv,0.8902900378310215
211,KNeighborsClassifier,dataset/transform/rows_permutation/random/Immuno_Therapy.csv,0.8222222222222222
212,KNeighborsClassifier,dataset/transform/rows_permutation/random/German_Credit.csv,0.829
213,KNeighborsClassifier,dataset/transform/rows_permutation/random/Lung_Cancer.csv,0.8148148148148148
214,KNeighborsClassifier,dataset/transform/rows_permutation/random/Voice_Rehabilitation.csv,0.7857142857142857
215,KNeighborsClassifier,dataset/transform/rows_permutation/random/Breast_Cancer.csv,0.8023426061493412
216,DecisionTreeClassifier,dataset/transform/rows_permutation/random/SE_Process.csv,1.0
217,DecisionTreeClassifier,dataset/transform/rows_permutation/random/Immuno_Therapy.csv,1.0
218,DecisionTreeClassifier,dataset/transform/rows_permutation/random/German_Credit.csv,1.0
219,DecisionTreeClassifier,dataset/transform/rows_permutation/random/Lung_Cancer.csv,1.0
220,DecisionTreeClassifier,dataset/transform/rows_permutation/random/Voice_Rehabilitation.csv,1.0
221,DecisionTreeClassifier,dataset/transform/rows_permutation/random/Breast_Cancer.csv,1.0
222,GaussianNB,dataset/transform/rows_permutation/random/SE_Process.csv,0.7301387137452712
223,GaussianNB,dataset/transform/rows_permutation/random/Immuno_Therapy.csv,0.8888888888888888
224,GaussianNB,dataset/transform/rows_permutation/random/German_Credit.csv,0.742
225,GaussianNB,dataset/transform/rows_permutation/random/Lung_Cancer.csv,0.8888888888888888
226,GaussianNB,dataset/transform/rows_permutation/random/Voice_Rehabilitation.csv,0.4523809523809524
227,GaussianNB,dataset/transform/rows_permutation/random/Breast_Cancer.csv,0.8843338213762811
228,RandomForestClassifier,dataset/transform/rows_permutation/random/SE_Process.csv,0.9974779319041615
229,RandomForestClassifier,dataset/transform/rows_permutation/random/Immuno_Therapy.csv,1.0
230,RandomForestClassifier,dataset/transform/rows_permutation/random/German_Credit.csv,0.989
231,RandomForestClassifier,dataset/transform/rows_permutation/random/Lung_Cancer.csv,1.0
232,RandomForestClassifier,dataset/transform/rows_permutation/random/Voice_Rehabilitation.csv,1.0
233,RandomForestClassifier,dataset/transform/rows_permutation/random/Breast_Cancer.csv,0.9970717423133236
234,AdaBoostClassifier,dataset/transform/rows_permutation/random/SE_Process.csv,0.9646910466582598
235,AdaBoostClassifier,dataset/transform/rows_permutation/random/Immuno_Therapy.csv,1.0
236,AdaBoostClassifier,dataset/transform/rows_permutation/random/German_Credit.csv,0.809
237,AdaBoostClassifier,dataset/transform/rows_permutation/random/Lung_Cancer.csv,0.7777777777777778
238,AdaBoostClassifier,dataset/transform/rows_permutation/random/Voice_Rehabilitation.csv,1.0
239,AdaBoostClassifier,dataset/transform/rows_permutation/random/Breast_Cancer.csv,1.0
240,KNeighborsClassifier,dataset/transform/rows_permutation/reversing/SE_Process.csv,0.8902900378310215
241,KNeighborsClassifier,dataset/transform/rows_permutation/reversing/Immuno_Therapy.csv,0.8222222222222222
242,KNeighborsClassifier,dataset/transform/rows_permutation/reversing/German_Credit.csv,0.831
243,KNeighborsClassifier,dataset/transform/rows_permutation/reversing/Lung_Cancer.csv,0.7777777777777778
244,KNeighborsClassifier,dataset/transform/rows_permutation/reversing/Voice_Rehabilitation.csv,0.7857142857142857
245,KNeighborsClassifier,dataset/transform/rows_permutation/reversing/Breast_Cancer.csv,0.8023426061493412
246,DecisionTreeClassifier,dataset/transform/rows_permutation/reversing/SE_Process.csv,1.0
247,DecisionTreeClassifier,dataset/transform/rows_permutation/reversing/Immuno_Therapy.csv,1.0
248,DecisionTreeClassifier,dataset/transform/rows_permutation/reversing/German_Credit.csv,1.0
249,DecisionTreeClassifier,dataset/transform/rows_permutation/reversing/Lung_Cancer.csv,1.0
250,DecisionTreeClassifier,dataset/transform/rows_permutation/reversing/Voice_Rehabilitation.csv,1.0
251,DecisionTreeClassifier,dataset/transform/rows_permutation/reversing/Breast_Cancer.csv,1.0
252,GaussianNB,dataset/transform/rows_permutation/reversing/SE_Process.csv,0.7301387137452712
253,GaussianNB,dataset/transform/rows_permutation/reversing/Immuno_Therapy.csv,0.8888888888888888
254,GaussianNB,dataset/transform/rows_permutation/reversing/German_Credit.csv,0.742
255,GaussianNB,dataset/transform/rows_permutation/reversing/Lung_Cancer.csv,0.8888888888888888
256,GaussianNB,dataset/transform/rows_permutation/reversing/Voice_Rehabilitation.csv,0.4523809523809524
257,GaussianNB,dataset/transform/rows_permutation/reversing/Breast_Cancer.csv,0.8843338213762811
258,RandomForestClassifier,dataset/transform/rows_permutation/reversing/SE_Process.csv,0.9936948297604036
259,RandomForestClassifier,dataset/transform/rows_permutation/reversing/Immuno_Therapy.csv,0.9666666666666667
260,RandomForestClassifier,dataset/transform/rows_permutation/reversing/German_Credit.csv,0.988
261,RandomForestClassifier,dataset/transform/rows_permutation/reversing/Lung_Cancer.csv,1.0
262,RandomForestClassifier,dataset/transform/rows_permutation/reversing/Voice_Rehabilitation.csv,0.9920634920634921
263,RandomForestClassifier,dataset/transform/rows_permutation/reversing/Breast_Cancer.csv,0.9985358711566618
264,AdaBoostClassifier,dataset/transform/rows_permutation/reversing/SE_Process.csv,0.9646910466582598
265,AdaBoostClassifier,dataset/transform/rows_permutation/reversing/Immuno_Therapy.csv,1.0
266,AdaBoostClassifier,dataset/transform/rows_permutation/reversing/German_Credit.csv,0.809
267,AdaBoostClassifier,dataset/transform/rows_permutation/reversing/Lung_Cancer.csv,0.7777777777777778
268,AdaBoostClassifier,dataset/transform/rows_permutation/reversing/Voice_Rehabilitation.csv,1.0
269,AdaBoostClassifier,dataset/transform/rows_permutation/reversing/Breast_Cancer.csv,1.0
